fid,kode_prov,nama_prov,positif,sembuh,meninggal,lat,long
1,11,Aceh,9616,7898,387,"96,909,523","4,225,082"
2,12,Sumatera Utara,25423,22062,859,"99,057,888","2,184,779"
3,13,Sumatera Barat,29714,28046,655,"100,466,805",-0.851914
4,14,Riau,32103,30337,783,"101,812,892",0.510526
5,15,Jambi,5637,4526,86,"103,599,320","-1,617,750"
6,16,Sumatera Selatan,16358,14588,788,"104,170,419","-3,213,347"
7,17,Bengkulu,5067,4683,150,"102,263,120","-3,791,160"
8,19,Bangka Belitung,7717,7094,117,"105,986,948","-2,252,956"
9,18,Lampung,12960,11463,672,"105,018,313","-4,918,073"
10,21,Kepulauan Riau,8804,8414,221,"108,202,229","3,915,947"
11,31,DKI Jakarta,352208,338855,5849,"106,826,490","-6,171,480"
12,32,Jawa Barat,224139,184900,2589,"107,602,808","-6,919,980"
13,33,Jawa Tengah,158609,110036,6824,"110,201,113","-7,258,970"
14,34,Daerah Istimewa Yogyakarta,29154,23365,713,"110,445,367","-7,895,014"
15,35,Jawa Timur,132499,120498,9326,"112,733,679","-7,720,113"
16,36,Banten,30808,23516,628,"106,109,197","-6,456,182"
17,51,Bali,35727,32934,978,"115,131,651","-8,369,743"
18,52,Nusa Tenggara Barat,8872,7198,346,"117,506,862","-8,606,652"
19,53,Nusa Tenggara Timur,10105,7795,286,"121,141,829","-8,604,843"
20,61,Kalimantan Barat,4906,4354,33,"111,120,762",-0.085901
21,62,Kalimantan Tengah,14633,12904,374,"113,181,048","-1,634,340"
22,63,Kalimantan Selatan,23300,20471,754,"115,311,308","-2,449,779"
23,64,Kalimantan Timur,58181,50692,1359,"116,470,858",0.461046
24,65,Kalimantan Utara,10107,7855,155,"116,216,718","2,888,821"
25,71,Sulawesi Utara,15136,12078,498,"124,535,379","1,286,098"
26,72,Sulawesi Tengah,10387,8643,264,"120,449,593","-1,459,215"
27,73,Sulawesi Selatan,57606,53591,877,"120,161,158","-3,747,116"
28,74,Sulawesi Tenggara,10107,9410,201,"122,078,678","-4,132,804"
29,75,Gorontalo,4866,4439,138,"123,061,840",0.537070
30,76,Sulawesi Barat,5299,4326,109,"119,343,471","-2,461,902"
31,81,Maluku,7133,6516,106,"129,360,425","-3,126,119"
32,82,Maluku Utara,4079,3455,114,"128,015,929",0.869337
33,94,Papua,17654,9438,181,"140,000,000","-5,000,000"
34,91,Papua Barat,7642,7001,127,"132,968,342","-2,041,723"
35,0,Indonesia,0,0,0,"113,915,865",-0.989818
